,profile_name,rating,rating_date,title,review_text
54,Praveen,5.0 out of 5 stars,Reviewed in India on 1 January 2025,"5.0 out of 5 stars
Very nice & handy
","
Really love this phone everything is awesome. Cute small lovely mobile equipped with all latest featuresValue for money
"
55,Placeholder,5.0 out of 5 stars,Reviewed in India on 9 December 2024,"5.0 out of 5 stars
Nice
","
Good working
"
56,Yami,5.0 out of 5 stars,Reviewed in India on 11 November 2024,"5.0 out of 5 stars
Teal colour ❤️
","
I like the colour, teal is one of the good colour, I loved it, the finishing 😋
"
57,Placeholder,3.0 out of 5 stars,Reviewed in India on 11 November 2024,"3.0 out of 5 stars
Invoice is missing
","
Please provide invoice under download there is no invoice for the order received
"
58,Sarojpradeep Maradapa,1.0 out of 5 stars,Reviewed in India on 20 January 2025,"1.0 out of 5 stars
Please don't by from Amazon
","
I purchased Apple 16 128GB on 16/Jan/2025 started using it from 17/Jan battery is draining even though its idle, authorized service center also confirmed and they gave a service record letter (after lot of conversation the representative hardly agreed to upload the document he is really not suitable to continue in the position)  i uploaded the report to amazon, when i choose for replacement Amazon says they need another letter from Authorized service center, as expected they Apple never gave any denied report to anyone, now i don't have option to either replace and cancel.Amazon customer care is really not helpful, better don't buy any products from amazon website offers by attracted, they will send a defective /refurbished/re-used devices..Amazon you loss the trust and belief of a valued customer who paid 80,000/- on a productMy sincere suggestion to those who want buy any apple product better visit the store and purchase from there.
"
59,Anoop,5.0 out of 5 stars,Reviewed in India on 6 December 2024,"5.0 out of 5 stars
Great phone.
","
All amazing and as expected. The colour looks better than in the pics in reality. Came with a sim remover tool and a charging wire.
"
60,Aditya,5.0 out of 5 stars,Reviewed in India on 24 October 2024,"5.0 out of 5 stars
Best upgrade over old iPhone
","
Best non Pro iphone you can buy right now. It's very responsive and fast. Good colour options and best part is it will be receiving apple intelligence updates along with pro models. Honestly I don't think 90 percent of the population needs Pro models. Just go for this if you want an iPhone you won't be disappointed
"
61,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 16 November 2024,"5.0 out of 5 stars
Original product.
","
Using the phone rate the phone.
"
62,CHANDAN,5.0 out of 5 stars,Reviewed in India on 3 December 2024,"5.0 out of 5 stars
Seems to be good
","
Seems to be far better than my I phone 12. Let’s see it’s performance in long run
"
63,Dhiraj borah,5.0 out of 5 stars,Reviewed in India on 19 November 2024,"5.0 out of 5 stars
Value for money
","
Liked the product.
"
64,Neelima,5.0 out of 5 stars,Reviewed in India on 10 November 2024,"5.0 out of 5 stars
Supeer👌👌
","
👌👌😍
"
65,Shiva Saw,5.0 out of 5 stars,Reviewed in India on 6 November 2024,"5.0 out of 5 stars
BRAND
","
AWESOME
"
66,Komal,5.0 out of 5 stars,Reviewed in India on 25 November 2024,"5.0 out of 5 stars
Sir my order thanks
","
Thank good product
"
67,Disha,5.0 out of 5 stars,Reviewed in India on 12 November 2024,"5.0 out of 5 stars
Amazing
","
Lovely
"
68,"S K Daimary, DGM, AEGCL, North Lakhimapur",5.0 out of 5 stars,Reviewed in India on 17 October 2024,"5.0 out of 5 stars
Cutest and easy to carry, smaller in size.
","
Liked it because of small in size and easy to carry in the pent's pocket.As told, it will be used in the day to life because of it's strong data security.
"
69,Ram,5.0 out of 5 stars,Reviewed in India on 5 November 2024,"5.0 out of 5 stars
5 star ⭐
","
It's apple so always 5 star premium quality product.
"
70,Teja,5.0 out of 5 stars,Reviewed in India on 10 November 2024,"5.0 out of 5 stars
😍
",
71,Gagan,5.0 out of 5 stars,Reviewed in India on 6 October 2024,"5.0 out of 5 stars
Future ready 16, 15 is not
","
For everyone who are looking to by 15 due to its cheaper value will be loosing the opportunity to experience Apples Ai as it would not be available for earlier models.
"
72,Mohd Yusuf Raza,5.0 out of 5 stars,Reviewed in India on 6 November 2024,"5.0 out of 5 stars
Excellent
","
Performance
"
73,Prachi Sharma,5.0 out of 5 stars,Reviewed in India on 29 November 2024,"5.0 out of 5 stars
Best iphone
",
74,Anil Kumar,1.0 out of 5 stars,Reviewed in India on 8 March 2025,"1.0 out of 5 stars
Worst Phone, not value for money
","
Worst Phone, i never seen such kind phone..Even 15k smart phone is fat batter compare this iphone..Battery full drain when we saw any video's with in 2 hours..Camera worst quality...Screen visual quality not up to the mark...Not value for money..Even getting adds when we are using few apps.. what security apple is provided i don't understand..
"
75,Sindhu Suresh,5.0 out of 5 stars,Reviewed in India on 8 October 2024,"5.0 out of 5 stars
Perfect!!
","
From speed to looks a handy perfect phone Go for it without second thoughts if you want an iPhone
"
76,Boyapati Rakesh,5.0 out of 5 stars,Reviewed in India on 10 October 2024,"5.0 out of 5 stars
Excellent Phone
","
all features are too good nice camera thank Q apple
"
77,Dian H.,5.0 out of 5 stars,Reviewed in India on 19 October 2024,"5.0 out of 5 stars
Ultramarine is to go!
","
Apple never disappoints!
"
78,Amazon Customer,1.0 out of 5 stars,Reviewed in India on 3 March 2025,"1.0 out of 5 stars
Shame on amazon
","
I would give zero star to both amazon and the seller both. The device is “dead on arrival”Amazon blaming apple and apple blaming amazon.  Amazon should be shameful to say that there is nothing amazon can do and deal with apple. Never gonna buy anything ever from amazon. All amazon did was washed its hands off the matter .
"
79,Shamil kv,5.0 out of 5 stars,Reviewed in India on 12 October 2024,"5.0 out of 5 stars
Excellent Phone
","
Worth to Money Spending. Its is an amazing phone from apple.
"
80,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 5 October 2024,"5.0 out of 5 stars
iPhone 16 Amazing
","
Love it
"
81,VENKATESH GOWDA,5.0 out of 5 stars,Reviewed in India on 5 October 2024,"5.0 out of 5 stars
Overall good product
","
Genuine product received
"
82,Vidit,2.0 out of 5 stars,Reviewed in India on 8 October 2024,"2.0 out of 5 stars
Disgustingly dirty box
","
The phone is fine but the box is incredibly dirty and brown. My 4 year old iPhone 12’s box looks more clean and it’s shameful that the phone hasn’t even been out for a month but the box has been kept in a condition that it looks 2 years old.
"
83,Danish,1.0 out of 5 stars,Reviewed in India on 10 March 2025,"1.0 out of 5 stars
Bad product
","
Mera phone 4din me hi kharab ho gya
"
84,Shobhit verma,5.0 out of 5 stars,Reviewed in India on 4 October 2024,"5.0 out of 5 stars
Awesome
",
85,Rohit Singh,4.0 out of 5 stars,Reviewed in India on 12 February 2025,"4.0 out of 5 stars
Totally a banger smartphone!
","




                    The media could not be loaded.
                



This phone has many pros and cons that you should know about.Pros: • Great camera • Great performance • Great in-hand feel • Great haptics • Great speakers • Great display (except refresh rate) • Great software • Great colors, especially in the non-Pro version • Great battery lifeCons: • 60Hz display • Only 2 cameras • Apple Intelligence • Camera control button
"
86,Vishal Raj,1.0 out of 5 stars,Reviewed in India on 6 March 2025,"1.0 out of 5 stars
I lost 75k on this crap phone
","




                    The media could not be loaded.
                



The volume buttons turned out to be faulty as soon as the phone was started
"
87,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 12 January 2025,"4.0 out of 5 stars
Worth for money.
","
Better compare the price in Apple reseller stores like imagine. I bought iPhone 16 256 gb variant for 76,500. It's really very low price when compared to Amazon. While coming to the phone performance which is expected usually from all iPhone. No lag in performance but battery could have been better.
"
88,sandeep,1.0 out of 5 stars,Reviewed in India on 23 February 2025,"1.0 out of 5 stars
Big problem in Camera don't buy I phone 16
",
89,karan chugh,1.0 out of 5 stars,Reviewed in India on 12 February 2025,"1.0 out of 5 stars
bad experience
","
bad experience
"
90,pankaj kumar,1.0 out of 5 stars,Reviewed in India on 12 January 2025,"1.0 out of 5 stars
I phone is very bad phone
","
Battery is very worst.cant download aap from play store
"
91,Krishna Sawarkar,5.0 out of 5 stars,Reviewed in India on 25 March 2025,"5.0 out of 5 stars
Nice Product
","
very good product it is very work efficient its battery life is quite low but its usefull as hell .
"
92,Srikanth Chowdary,1.0 out of 5 stars,Reviewed in India on 31 December 2024,"1.0 out of 5 stars
Battery
","
Phone is getting heated often and battery drains at very faster rate
"
93,Raju,1.0 out of 5 stars,Reviewed in India on 25 December 2024,"1.0 out of 5 stars
Same heating problem….battery support minimum improved…library hanging ..No remarkable new features
","
Poor product…same heating problem…battery minimum improvement. Photo library always hang
"
94,S.D,5.0 out of 5 stars,Reviewed in India on 15 March 2025,"5.0 out of 5 stars
Good product
","
Good product for use didisjajakaka sounds quality is good amazing response touch good camera value for money charge is good
"
95,sudhir singh,1.0 out of 5 stars,Reviewed in India on 24 December 2024,"1.0 out of 5 stars
Lining show in the screen
","
Directive phone show lining in the screen
"
96,Surendra,1.0 out of 5 stars,Reviewed in India on 2 December 2024,"1.0 out of 5 stars
Waste and useless phone;vivo ,oppo,redmi,oneplus…much better than this over hyped apple phone
","
Utterly waste phone for that price , not user friendly, limited options, poor camera quality, takes lot of time for charging, worst phone ever…..
"
97,Sanket Jaiswal,1.0 out of 5 stars,Reviewed in India on 5 December 2024,"1.0 out of 5 stars
Product had multiple scratches
","
The product had multiple scratches as it seems to be used and then packed.
"
98,Rohit Vardhan G,5.0 out of 5 stars,Reviewed in India on 4 October 2024,"5.0 out of 5 stars
Best in hands iphone
","




                    The media could not be loaded.
                



The color is great, the feel and the response is great too. Thanks to Amazon for the perfect delivery and exchange benefit.
"
99,Arun Kumar,1.0 out of 5 stars,Reviewed in India on 4 December 2024,"1.0 out of 5 stars
Fake Product
","
Speaker is not working..Fajr product..Amazon and apple not supporting they gave false statement
"
